Id,Prediction,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt
100010,b,-999,86.24,79.692,27.201,-999,-999,-999,2.338,27.201,81.734,1.75,-1.412,-999,29.718,-0.866,2.878,52.016,0.126,-1.288,51.276,0.688,250.178,0,-999,-999,-999,-999,-999,-999,0
100011,b,114.744,10.286,75.712,30.816,2.563,252.599,-1.401,2.888,36.745,239.804,1.061,1.364,0.769,35.976,-0.669,-0.342,38.188,-0.165,2.502,22.385,2.148,290.547,3,76.773,-0.79,0.303,56.876,1.773,-2.079,165.64
100012,b,145.297,64.234,103.565,106.999,-999,-999,-999,2.183,24.66,192.245,0.576,0.689,-999,62.89,-0.766,-1.632,36.237,0.722,-0.035,43.91,-1.907,232.362,1,93.117,-0.97,1.943,-999,-999,-999,93.117
100013,b,82.488,31.663,64.128,8.232,-999,-999,-999,2.823,8.232,58.649,1.303,-1.414,-999,25.47,-0.654,-2.99,33.179,-1.665,-0.354,12.439,1.433,163.42,0,-999,-999,-999,-999,-999,-999,0
100014,b,-999,109.412,14.398,17.323,-999,-999,-999,0.472,17.323,62.565,1.774,-0.272,-999,22.552,1.389,1.34,40.013,1.856,1.412,75.197,-1.583,198.616,0,-999,-999,-999,-999,-999,-999,0
100015,s,111.026,32.096,75.271,23.067,-999,-999,-999,3.205,23.067,69.649,1.276,-1.414,-999,30.606,-1.107,-1.903,39.043,-1.944,1.191,19.959,2.415,122.176,0,-999,-999,-999,-999,-999,-999,0
100016,b,114.256,4.351,67.963,47.221,-999,-999,-999,2.954,26.243,100.93,1.145,0.218,-999,30.145,0.484,-0.929,34.522,-0.215,1.941,41.899,2.055,191.568,1,36.263,-0.766,-0.686,-999,-999,-999,36.263
100017,s,127.861,50.953,77.267,26.967,-999,-999,-999,2.833,26.967,79.503,1.586,1.401,-999,30.739,-0.635,2.603,48.764,-0.343,-0.862,17.557,-2.975,211.72,0,-999,-999,-999,-999,-999,-999,0
100018,b,-999,85.186,68.827,5.042,-999,-999,-999,2.116,5.042,71.443,1.558,-1.351,-999,27.931,1.175,2.356,43.512,2.332,0.584,44.698,-2.033,151.816,0,-999,-999,-999,-999,-999,-999,0
100019,b,-999,88.767,115.058,15.337,-999,-999,-999,2.879,15.337,58.211,0.875,-1.395,-999,31.046,1.38,0.451,27.165,-1.486,0.724,72.981,-2.577,115.145,0,-999,-999,-999,-999,-999,-999,0
100020,b,-999,89.705,41.765,18.437,-999,-999,-999,1.395,18.437,57.157,1.082,-1.178,-999,27.453,1.58,2.51,29.704,0.341,1.869,67.909,-1.169,225.139,0,-999,-999,-999,-999,-999,-999,0
100021,b,90.736,18.674,60.231,25.156,-999,-999,-999,2.363,25.156,64.833,0.749,-0.8,-999,37.06,1.537,-2.616,27.773,1.161,1.335,27.431,0.645,169.061,0,-999,-999,-999,-999,-999,-999,0
100022,b,87.075,38.217,67.041,2.347,-999,-999,-999,2.852,2.347,65.281,1.276,-1.409,-999,28.688,1.739,-2.975,36.594,2.367,-0.193,12.556,2.008,68.527,0,-999,-999,-999,-999,-999,-999,0
100023,s,141.481,0.736,111.581,174.075,1.955,364.344,-0.923,1.335,6.663,440.859,0.652,1.042,0.207,98.565,0.19,-1.506,64.285,1.405,-0.952,17.96,-0.973,454.785,2,195.533,1.156,1.416,82.477,-0.798,-2.785,278.009
100024,b,110.785,72.927,82.775,30.888,-999,-999,-999,3.032,30.888,77.888,2.581,1.353,-999,21.751,-0.709,-1.088,56.137,0.531,1.679,27.318,-0.716,253.577,0,-999,-999,-999,-999,-999,-999,0
100025,b,76.883,34.384,56.993,5.569,-999,-999,-999,2.912,5.569,58.116,1.492,-1.409,-999,23.319,-0.081,-0.338,34.797,-0.321,2.564,10.098,-1.397,93.086,0,-999,-999,-999,-999,-999,-999,0
100026,s,137.197,68.009,78.296,35.332,-999,-999,-999,2.883,0.204,115.081,1.295,1.403,-999,34.657,1.587,-2.231,44.897,1.664,1.17,32.07,-2.891,82.224,1,35.527,4.347,-0.169,-999,-999,-999,35.527
100027,s,111.271,27.18,70.642,144.766,4.936,1021.322,-5.834,1.795,0.367,309.992,2.848,1.306,0.696,24.899,-0.089,-2.342,70.923,-0.98,-0.783,69.364,-1.173,289.876,2,170.712,-1.961,2.22,43.458,2.974,-0.103,214.17
100028,s,118.104,2.633,77.31,91.388,-999,-999,-999,1.976,21.536,159.743,1.172,1.061,-999,37.999,-0.214,-2.678,44.523,-1.354,-1.064,39.141,-1.127,175.843,1,77.221,-0.049,1.426,-999,-999,-999,77.221
100029,b,98.761,14.024,74.23,132.806,3.676,315.854,-2.665,1.261,23.29,239.33,1.541,1.306,0.982,49.624,-1.093,1.995,76.454,-0.595,0.836,26.438,1.15,357.815,2,80.627,0.993,-2.018,32.625,-2.683,-1.467,113.252
100030,b,-999,91.316,51.771,33.742,-999,-999,-999,1.309,0.876,112.809,1.718,-1.318,-999,29.267,-1.346,-0.333,50.292,-2.443,-1.046,44.156,2.595,157.431,1,33.25,-3.199,2.057,-999,-999,-999,33.25
100031,s,121.681,6.041,73.202,198.114,2.639,295.942,-1.738,1.148,31.017,412.518,0.262,0.838,0.984,126.071,0.953,2.492,32.986,0.231,-2.899,65.09,-2.769,515.415,3,182.449,1.383,0.001,38.006,-1.257,-0.609,253.461
100032,s,129.186,64.045,69.499,63.165,5.087,854.799,-6.159,2.745,6.58,203.08,0.769,1.355,0.82,37.764,0.215,0.74,29.054,-0.575,-2.914,45.253,1.204,199.861,2,81.17,3.102,-0.977,55.092,-1.985,3.065,136.262
100033,b,123.112,62.758,86.702,39.901,3.16,244.181,-2.139,2.825,9.732,184.194,2.089,1.337,0.929,26.075,-0.175,-0.782,54.476,1.026,2.944,23.618,-1.209,309.43,2,71.127,2.177,0.558,32.515,-0.983,-2.628,103.642
100034,b,156.894,39.256,122.894,71.682,-999,-999,-999,2.387,29.365,148.381,1.11,0.655,-999,48.605,-2.123,-3.018,53.933,-0.456,-1.308,10.096,2.976,195.864,1,45.843,1.131,1.15,-999,-999,-999,45.843
100035,b,72.712,20.762,50.255,39.263,-999,-999,-999,2.186,21.817,103.596,1.269,1.414,-999,25.085,-0.251,3.006,31.832,-0.357,0.823,12.563,1.915,152.875,1,46.679,-1.711,-1.864,-999,-999,-999,46.679
100036,s,134.153,23.856,100.96,9.377,-999,-999,-999,2.846,9.377,101.789,0.759,-1.405,-999,57.869,-0.428,0.614,43.919,-0.1,-2.842,11.797,-1.739,241.281,0,-999,-999,-999,-999,-999,-999,0
100037,s,155.487,61.072,125.013,2.768,-999,-999,-999,2.908,2.768,123.704,1.176,-1.408,-999,56.845,-0.935,2.009,66.859,-1.357,-1.397,16.589,0.923,95.267,0,-999,-999,-999,-999,-999,-999,0
100038,s,138.362,38.034,99.038,65.021,1.814,275.461,1.506,2.605,97.25,403.267,1.875,0.023,0,21.326,1.459,-1.615,39.994,-1.133,-1.869,18.093,-0.299,453.69,3,114.602,0.619,0.165,77.053,2.433,-2.637,341.947
100039,s,120.506,22.729,88.889,35.999,0.218,167.175,5.17,2.465,32.706,294.349,1.448,1.171,0,39.107,-1.081,1.431,56.61,-1.185,-1.032,2.713,1.29,243.867,3,88.399,-2.168,-1.423,77.27,-2.385,1.876,198.632
100040,s,109.684,42.664,86.064,0.23,-999,-999,-999,2.745,0.23,82.944,0.939,-1.414,-999,42.787,-1.942,-0.574,40.158,-1.218,2.074,20.195,-2.516,59.902,0,-999,-999,-999,-999,-999,-999,0
100041,b,90.833,62.236,53.228,21.581,-999,-999,-999,2.629,21.581,55.182,1.445,-0.797,-999,22.566,1.645,-2.03,32.616,1.287,0.574,29.74,-2.484,70.266,0,-999,-999,-999,-999,-999,-999,0
100042,s,122.516,50.183,87.682,102.403,3.28,479.59,-2.564,1.881,0.731,297.49,0.477,1.025,0.631,77.097,-0.303,-2.694,36.746,-0.758,1.764,27.921,-2.719,275.222,2,98.198,1.995,0.961,85.448,-1.285,-0.995,183.646
100043,b,132.049,65.682,87.937,0.861,-999,-999,-999,2.952,0.861,87.374,1.542,-1.377,-999,34.371,-1.723,-2.546,53.003,-1.181,0.355,21.006,3.141,68.796,0,-999,-999,-999,-999,-999,-999,0
100044,b,84.86,33.706,67.847,18.079,-999,-999,-999,2.346,18.079,73.32,1.076,-1.367,-999,35.311,1.323,2.505,38.009,1.526,-1.44,17.651,-0.023,176.82,0,-999,-999,-999,-999,-999,-999,0
100045,b,27.788,68.032,23.53,33.375,1.37,78.189,3.443,0.78,10.201,132.965,1.373,-0.776,0.024,26.365,0.664,1.693,36.2,0.656,2.474,32.195,-0.498,233.334,2,37.734,2.663,-0.491,32.666,1.293,-2.358,70.4
100046,s,201.473,23.002,104.041,60.49,4.437,491.375,-4.916,2.968,1.786,247.731,0.257,1.408,0.688,102.618,-1.475,2.409,26.334,-1.281,-0.913,47.249,-1.577,337.398,2,86.447,-2.142,0.298,32.332,2.295,-2.273,118.779
100047,s,130.079,53.335,97.435,1.382,-999,-999,-999,3.023,1.382,93.255,1.32,-1.403,-999,40.193,-1.06,-0.659,53.062,-0.374,2.681,14.532,0.104,118.867,0,-999,-999,-999,-999,-999,-999,0
100048,b,167.534,41.277,123.308,9.909,-999,-999,-999,2.776,9.909,124.886,0.713,-1.406,-999,72.924,-0.14,0.934,51.962,0.266,-2.603,23.577,-1.342,319.578,0,-999,-999,-999,-999,-999,-999,0
100049,s,95.407,21.584,67.766,1.482,-999,-999,-999,3.042,1.482,67.894,1.087,-1.414,-999,32.531,0.801,1.014,35.363,0.826,-2.227,4.67,-0.233,70.691,0,-999,-999,-999,-999,-999,-999,0
100050,b,219.057,72.461,124.835,5.506,-999,-999,-999,3.771,46.936,122.986,1.932,-1.382,-999,24.759,-1.063,0.332,47.83,1.347,-2.569,28.499,0.96,90.355,1,50.396,-0.708,-0.642,-999,-999,-999,50.396
100051,s,104.142,37.94,69.029,50.58,3.941,411.813,-1.86,2.448,4.194,185.688,0.989,1.407,0.991,35.311,0.948,-2.167,34.912,1.605,1.758,24.104,-3.099,202.281,2,69.371,-0.548,0.57,46.094,3.392,-1.725,115.465
100052,b,-999,83.924,136.152,40.286,-999,-999,-999,3.111,40.286,67.818,1.884,-0.574,-999,23.515,-1.272,-1.525,44.302,1.66,-2.567,41.305,0.183,104.743,0,-999,-999,-999,-999,-999,-999,0
100053,b,-999,98.947,85.408,1.578,-999,-999,-999,2.598,1.578,89.173,2.074,-1.331,-999,29.005,0.167,-0.454,60.168,0.918,2.033,42.635,-1.54,146.821,0,-999,-999,-999,-999,-999,-999,0
100054,b,219.292,74.6,177.143,2.423,-999,-999,-999,4.054,2.423,71.678,1.841,-1.337,-999,25.232,1.099,-2.41,46.447,-2.127,1.419,31.593,-1.263,106.965,0,-999,-999,-999,-999,-999,-999,0
100055,b,51.025,50.315,46.006,1.303,-999,-999,-999,2.109,1.303,52.149,1.155,-1.411,-999,24.198,0.872,-2.822,27.952,0.457,-0.755,28.169,1.469,54.023,0,-999,-999,-999,-999,-999,-999,0
100056,b,-999,110.686,65.448,49.395,0.482,24.02,7.901,2.893,26.385,138.2,2.106,-1.393,0,21.631,-0.767,-1.698,45.546,-0.107,1.769,73.398,-0.785,185.682,2,40.581,-3.062,2.144,30.442,-2.58,2.396,71.023
100057,s,148.523,31.911,97.497,171.074,1.209,262.61,-0.067,1.423,20.859,420.089,1.018,0.558,0,73.982,-1.987,-2.864,75.348,-1.992,-1.441,86.93,-1.044,521.36,2,214.449,-0.058,1.525,56.31,1.151,-1.743,270.759
100058,s,104.221,13.816,71.225,27.029,-999,-999,-999,2.836,27.029,70.783,1.005,1.389,-999,35.306,-2.443,-2.933,35.478,-2.046,-0.125,17.674,-0.684,149.85,0,-999,-999,-999,-999,-999,-999,0
100059,b,73.819,83.737,60.659,43.435,1.494,162.191,-0.546,1.576,45.807,273.216,2.027,-1.34,0.001,30,2.02,-1.803,60.803,1.905,2.908,39.933,0.877,283.314,3,80.042,-0.856,1.304,52.501,0.638,-1.114,182.413
100060,s,103.646,40.918,64.244,135.726,0.68,73.056,1.649,1.524,18.535,305.027,0.517,1.287,0.959,61.114,-0.595,1.353,31.599,-1.398,2.648,59.825,1.668,402.277,3,78.174,-1.668,-0.978,58.097,-0.989,-1.727,212.314
100061,s,122.934,73.141,68.069,4.647,-999,-999,-999,2.992,4.647,74.409,2.326,-1.361,-999,22.375,0.805,-1.579,52.034,0.814,1.413,25.922,-1.913,89.716,0,-999,-999,-999,-999,-999,-999,0
100062,b,139.394,71.611,78.711,28.947,-999,-999,-999,2.945,2.399,110.117,1.594,1.397,-999,30.409,2.452,-0.472,48.47,1.948,2.429,30.839,0.061,162.628,1,31.238,-2.123,-2.415,-999,-999,-999,31.238
100063,b,92.065,65.274,53.52,28.173,-999,-999,-999,2.738,28.173,54.346,1.202,-1.304,-999,24.676,-0.828,1.37,29.67,-0.541,-2.19,36.512,0.692,84.621,0,-999,-999,-999,-999,-999,-999,0
100064,b,92.696,51.669,68.835,39.384,-999,-999,-999,2.513,15.701,123.58,2.285,1.329,-999,23.815,-0.034,3.075,54.41,-0.249,-0.705,16.44,-2.79,215.024,1,45.355,-0.977,1.973,-999,-999,-999,45.355
100065,b,83.081,63.334,60.631,38.653,-999,-999,-999,2.077,0.91,111.277,1.715,0.089,-999,26.803,1.979,-3.099,45.97,2.125,-1.027,23.701,2.686,214.474,1,38.504,2.526,0.914,-999,-999,-999,38.504
100066,b,123.715,57.088,81.811,53.612,-999,-999,-999,3.043,53.612,82.428,0.562,1.404,-999,52.772,2.288,2.793,29.656,1.748,-0.495,30.361,-3.01,222.183,0,-999,-999,-999,-999,-999,-999,0
100067,b,94.229,78.683,69.352,25.679,-999,-999,-999,2.507,25.679,71.802,1.481,-0.909,-999,28.94,1.102,-2.445,42.862,0.519,1.4,36.135,-1.794,218.411,0,-999,-999,-999,-999,-999,-999,0
100068,b,88.532,16.345,50.14,95.309,4.557,580.126,-3.436,1.771,34.156,187.654,1.29,1.306,0.585,26.665,-1.201,0.175,34.406,-0.344,1.725,52.175,1.337,326.007,2,83.996,-0.953,-1.522,42.588,3.604,-2.122,126.584
100069,b,101.675,72.911,49.453,42.633,-999,-999,-999,2.605,42.633,51.687,1.302,0.136,-999,22.455,1.337,1.183,29.231,1.411,-1.421,46.471,1.425,126.9,0,-999,-999,-999,-999,-999,-999,0
100070,s,120.253,30.144,82.176,38.736,3.918,407.579,-3.457,2.551,46.301,243.103,1.017,1.4,0.434,39.923,1.963,0.062,40.602,1.174,-2.364,11.126,-0.788,337.559,3,59.401,1.342,-0.369,53.711,-2.577,2.14,162.577
100071,s,-999,70.619,81.224,23.097,-999,-999,-999,1.724,23.097,122.205,0.304,-1.178,-999,93.741,0.675,0.441,28.464,1.294,2.05,75.369,-2.499,169.293,0,-999,-999,-999,-999,-999,-999,0
100072,b,96.906,71.751,74.602,39.664,-999,-999,-999,2.348,14.617,107.103,0.984,-0.875,-999,35.66,0.557,-1.441,35.076,1.736,2.811,36.787,-0.432,148.77,1,36.367,-1.891,1.316,-999,-999,-999,36.367
100073,s,92.222,16.05,64.769,3.422,-999,-999,-999,2.824,3.422,66.948,0.662,-1.39,-999,40.271,-2.097,1.567,26.677,-2.163,-1.256,13.736,-2.121,124.752,0,-999,-999,-999,-999,-999,-999,0
100074,b,-999,65.71,56.525,1.118,-999,-999,-999,2.012,1.118,66.151,1.174,-1.407,-999,30.428,1.804,1.066,35.723,2.193,-0.908,36.227,3.073,123.357,0,-999,-999,-999,-999,-999,-999,0
100075,s,98.597,41.715,78.618,3.375,-999,-999,-999,2.409,3.375,86.58,0.62,-1.359,-999,53.443,-0.714,1.477,33.137,-0.668,-0.932,36.055,-2.228,135.433,0,-999,-999,-999,-999,-999,-999,0
100076,b,239.551,118.683,193.111,6.549,-999,-999,-999,2.857,6.549,181.614,1.246,-1.398,-999,80.853,0.563,-1.877,100.761,1.4,0.855,39.99,-3.012,170.842,0,-999,-999,-999,-999,-999,-999,0
100077,b,86.629,33.856,67.5,49.081,2.978,229.16,-1.67,1.951,17.799,204.93,1.273,-0.7,0.422,28.542,-0.476,2.973,36.328,-2.124,1.929,12.569,0.1,215.393,3,56.951,0.749,-0.296,42.88,-2.229,-2.825,140.06
100078,s,132.35,65.858,106.57,124.84,5.822,1558.773,-8.423,1.931,34.787,303.37,3.479,-0.24,0.998,29.167,1.769,1.972,101.483,0.362,-2.989,37.422,-1.862,325.373,2,101.934,3.139,0.444,70.786,-2.683,-0.567,172.721
100079,s,123.29,52.954,76.946,129.157,-999,-999,-999,1.769,26.758,224.796,0.427,1.286,-999,76.021,0.184,-1.902,32.459,0.083,2.615,52.567,-2.277,273.452,1,116.316,-1.171,0.641,-999,-999,-999,116.316
100080,b,84.608,50.05,63.451,0.658,-999,-999,-999,2.961,0.658,57.911,1.655,-1.375,-999,21.816,2.445,-0.567,36.095,1.377,2.954,18.405,0.296,29.742,0,-999,-999,-999,-999,-999,-999,0
100081,b,-999,65.312,50.047,0.515,-999,-999,-999,2.13,74.884,132.893,1.709,-1.372,-999,21.429,0.266,-0.062,36.623,0.718,2.02,32.276,-1.758,32.944,1,74.841,0.616,-1.564,-999,-999,-999,74.841
100082,s,166.64,15.868,80.477,77.915,1.575,215.121,-0.544,2.871,28.035,410.568,0.691,1.31,0.159,39.441,-0.64,-2.622,27.269,0.793,1.174,69.34,1.541,453.141,3,85.392,-1.062,0.166,81.559,0.513,-2.255,343.858
100083,b,145.99,68.862,97.342,28.538,4.664,396.915,-5.149,3.088,24.909,174.47,2.139,1.41,0.677,31.234,-0.185,2.945,66.796,-0.917,-0.056,20.804,2.299,198.904,2,39.577,2.871,-2.316,36.863,-1.793,1.295,76.44
100084,b,99.668,25.986,60.637,192.267,1.048,231.346,-0.273,1.405,37.955,435.679,3.282,0.677,0.475,23.845,-0.56,1.128,78.248,0.418,0.119,105.389,-0.168,392.838,3,176.49,-0.558,2.664,73.566,0.49,-1.616,333.586
100085,b,-999,71.692,52.779,2.705,-999,-999,-999,1.985,2.705,50.751,1.533,-1.349,-999,20.039,-0.33,-2.606,30.712,-1.988,-1.514,43.206,1.27,72.211,0,-999,-999,-999,-999,-999,-999,0
100086,b,199.9,78.686,167.085,77.236,-999,-999,-999,2.934,17.233,172.545,1.785,-0.112,-999,30.651,-0.735,0.131,54.696,2.183,0.439,43.135,2.327,277.402,1,87.198,-2.031,-2.452,-999,-999,-999,87.198
100087,b,92.079,42.327,71.28,29.118,-999,-999,-999,2.322,29.118,73.226,1.257,-1.284,-999,32.441,0.71,-0.658,40.785,-0.107,-2.831,28.662,2.117,146.893,0,-999,-999,-999,-999,-999,-999,0
100088,b,117.247,102.167,79.738,34.164,-999,-999,-999,3.23,1.991,108.514,2.485,1.403,-999,21.432,0.105,-3.107,53.255,1.292,0.172,53.22,2.743,111.693,1,33.828,-0.454,-1.074,-999,-999,-999,33.828
100089,b,235.976,55.918,175.744,39.662,-999,-999,-999,2.69,3.627,193.94,0.618,-1.101,-999,94.921,-0.567,2.08,58.684,0.803,-1.888,68.732,-0.977,290.533,1,40.334,-0.965,0.94,-999,-999,-999,40.334
100090,b,151.45,39.326,108.268,19.727,0.726,179.399,0.873,3.387,4.789,305.546,1.239,1.414,0,36.337,0.71,-0.014,45.014,2.317,-2.996,13.612,-1.16,390.63,3,86.379,1.365,0.155,80.424,0.639,3.118,224.195
100091,b,124.118,59.132,77.775,0.419,-999,-999,-999,3.112,0.419,75.391,1.647,-1.381,-999,28.485,-0.684,1.874,46.906,-1.402,-1.382,18.813,1.566,40.3,0,-999,-999,-999,-999,-999,-999,0
100092,b,96.97,61.769,93.213,0.51,-999,-999,-999,2.782,0.51,70.954,1.13,-1.411,-999,33.317,2.077,1.002,37.638,0.354,-3.097,32.406,-0.926,103.858,0,-999,-999,-999,-999,-999,-999,0
100093,s,96.379,17.118,63.373,71.039,6.108,1204.243,-8.309,1.677,22.278,206.663,0.426,0.308,0.895,64.293,0.418,-2.566,27.393,0.01,2.091,36.296,1.542,261.442,2,66.27,2.045,0.05,48.707,-4.063,-1.319,114.977
100094,b,111.356,20.265,50.19,104.878,-999,-999,-999,2.5,26.905,138.893,1.407,1.312,-999,20.535,0.186,-1.546,28.883,-0.71,2.404,85.179,2.816,147.129,1,89.475,-1.828,-0.48,-999,-999,-999,89.475
100095,b,98.181,68.298,77.216,1.17,-999,-999,-999,2.918,1.17,63.11,2.056,-1.341,-999,20.651,1.013,-1.804,42.46,-0.616,0.616,29.147,-3.011,52.207,0,-999,-999,-999,-999,-999,-999,0
100096,s,113.75,52.067,76.262,1.25,-999,-999,-999,2.962,1.25,77.982,1.469,-1.391,-999,31.581,-1.728,0.782,46.402,-1.721,-2.54,15.11,0.234,97.737,0,-999,-999,-999,-999,-999,-999,0
100097,s,124.575,34.558,100.197,161.051,3.243,324.597,-2.626,1.479,61.347,315.354,2.913,0.227,0.328,36.695,0.218,-0.563,106.897,1.648,-0.937,25.565,-1.611,432.241,3,97.16,-1.686,2.858,42.808,1.557,1.534,171.763
100098,b,77.578,72.277,58.168,153.606,2.604,370.937,-1.597,0.988,41.756,330.67,2.032,0.572,0.061,41.804,-1.298,1.93,84.954,-1.866,2.739,50.145,1.565,351.78,2,111.656,-0.987,-0.035,92.256,1.617,-1.433,203.911
100099,b,107.35,20.354,77.755,89.044,4.449,564.836,-2.99,2.482,31.871,233.139,3.61,1.335,0.251,21.617,-1.268,-1.114,78.034,-1.216,2.688,27.167,3.134,327.422,2,95.352,-0.825,-0.201,38.135,3.625,2.93,133.488
100100,b,90.801,27.787,65.373,55.978,-999,-999,-999,2.457,20.608,138.624,2.452,1.405,-999,21.977,1.603,-0.643,53.881,1.873,1.799,18.209,0.88,219.339,1,62.766,0.778,-2.209,-999,-999,-999,62.766
100101,s,95.787,24.109,63.069,49.994,0.237,146.118,3.859,2.266,54.026,238.888,0.891,1.411,0,33.7,-1.261,1.827,30.017,-0.295,-0.223,16.769,0.911,415.991,2,135.815,-2.087,-2.199,39.356,-1.85,0.49,175.171
100102,b,101.079,91.317,79.19,73.323,2.463,261.761,-1.358,2.6,58.155,338.283,4.091,-1.411,0.656,20.291,-1.279,-2.592,83.013,-1.199,0.007,47.763,1.629,376.038,3,90.445,-1.63,-1.166,58.965,0.833,3.092,234.979
100103,s,130.123,8.251,81.732,81.065,3.022,262.128,-2.12,2.111,51.577,237.168,0.716,1.199,0.995,49.824,0.784,3.127,35.67,-0.292,1.311,35.508,1.544,363.616,3,73.26,-1.915,-1.662,41.357,1.107,1.3,151.674
100104,b,130.634,74.772,102.183,25.928,-999,-999,-999,2.723,25.928,89.307,0.972,-1.324,-999,45.279,0.375,3.133,44.028,-0.859,-0.722,33.228,1.994,126.655,0,-999,-999,-999,-999,-999,-999,0
100105,b,208.573,6.854,154.336,57.028,2.685,183.753,0.026,3.581,5.646,161.078,2.064,1.362,0.601,20.506,-1.017,0.758,42.329,2.311,-0.563,5.651,-0.116,254.585,2,66.774,0.01,-2.731,31.47,2.695,1.342,98.243
100106,s,91.616,0.245,62.842,13.974,3.655,448.409,-1.74,3.102,7.63,203.75,0.956,0.618,0.396,32.02,0.66,0.988,30.618,0.495,-2.198,15.291,-2.187,245.168,2,78.35,-3.092,0.136,62.761,0.563,3.065,141.111
100107,s,109.829,3.322,65.336,52.22,2.893,211.215,3.061,3.129,1.148,162.336,1.235,1.402,0.543,29.094,1.424,-2.994,35.932,1.139,0.122,45.334,0.04,148.394,2,55.814,3.716,-2.343,41.496,0.824,1.908,97.31
100108,b,90.331,79.938,65.701,1.437,-999,-999,-999,2.725,1.437,72.782,2.381,-1.3,-999,21.525,-0.555,0.065,51.256,-0.251,2.773,31.692,-0.626,71.42,0,-999,-999,-999,-999,-999,-999,0
100109,b,114.661,81.66,93.669,37.014,-999,-999,-999,2.532,0.953,131.033,2.837,-1.091,-999,24.525,0.895,0.725,69.58,-0.432,2.882,24.002,-0.345,158.382,1,36.929,-0.194,-0.806,-999,-999,-999,36.929
